Nama Jabatan,Instansi Pengampu,Level Pemerintahan,,,,,,,,
Direktur Penerimaan Negara Bukan Pajak Sumber Daya Alam dan Kekayaan Negara Dipisahkan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Pengadaan dan Kepangkatan,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Pengairan dan Irigasi,Tertentu (Kementerian Ppn/Bappenas),Pemerintah Pusat,,,,,,,,
Direktur Pengawasan Pengelolaan Sumber Daya Kelautan,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Pengawasan Pengelolaan Sumber Daya Perikanan,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Pengelolaan Dukungan Pemerintah dan Pembiayaan Infrastruktur,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Pengelolaan Kas Negara,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Pengelolaan Kekayaan Negara dan Sistem Informasi,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Pengelolaan Sumber Daya Ikan,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan dan Perencanaan Proyek Infrastruktur Prioritas Nasional,Tertentu (Kementerian Ppn/Bappenas),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Iklim Usaha dan Kerjasama Internasional,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Kekayaan Intelektual Industri Kreatif,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Profesi dan Kelembagaan,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Sistem Katalog,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Sistem Pengadaan Secara Elektronik,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Strategi dan Kebijakan Pengadaan Khusus,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Strategi dan Kebijakan Pengadaan Umum,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Sumber Daya Manusia Ekonomi Kreatif,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Pengembangan Sumber Daya Manusia Pariwisata,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Pengolahan dan Bina Mutu,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Pengolahan Data dan Penyajian Informasi Kepegawaian,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Penilaian,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Peningkatan Kualifikasi Tenaga Kesehatan (Pusat Pendidikan dan Pusat Peningkatan Mutu/Tugas Belajar),Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Pensiun dan Pejabat Negara,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Penyelenggara Kegiatan (Events),Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
"Direktur Penyuluhan, Pelayanan, dan Hubungan Masyarakat",Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Penyusunan Anggaran Pendapatan dan Belanja Negara,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Peraturan Perpajakan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Peraturan Perundang-Undangan,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Perbenihan,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Perbenihan Tanaman Hutan,Tertentu (Kementerian Lingkungan Hidup Dan Kehutanan),Pemerintah Pusat,,,,,,,,
Direktur Perencanaan dan Pendayagunaan Tenaga Kesehatan,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
"Direktur Perencanaan, Monitoring dan Evaluasi Pengadaan",Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Direktur Perizinan dan Kenelayanan,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Perpajakan Internasional ,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
"Direktur Pertemuan, Insentif, Konvensi, dan Pameran",Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Perumahan dan Permukiman,Tertentu (Bappenas),Pemerintah Pusat,,,,,,,,
Direktur Perumusan Kebijakan Kekayaan Negara,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Politeknik Siber dan Sandi Negara,Tertentu (Badan Siber Dan Sandi Negara),Pemerintah Pusat,,,,,,,,
"Direktur Potensi, Kepatuhan, dan Penerimaan",Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Promosi Kesehatan dan Pemberdayaan Masyarakat,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Rehabilitasi Hutan,Tertentu (Kementerian Lingkungan Hidup Dan Kehutanan),Pemerintah Pusat,,,,,,,,
Direktur Rehabilitasi Sosial Anak,Tertentu (Kementerian Sosial),Pemerintah Pusat,,,,,,,,
"Direktur Rehabilitasi Sosial Korban Penyalahgunaan Narkotika, Psikotropika dan Zat Adiktif",Tertentu (Kementerian Sosial),Pemerintah Pusat,,,,,,,,
Direktur Rehabilitasi Sosial Lanjut Usia,Tertentu (Kementerian Sosial),Pemerintah Pusat,,,,,,,,
Direktur Rehabilitasi Sosial Penyandang Disabilitas,Tertentu (Kementerian Sosial),Pemerintah Pusat,,,,,,,,
Direktur Rumah Khusus,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Rumah Susun,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Rumah Swadaya,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Rumah Umum dan Komersial,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Sertifikasi Profesi,Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Direktur Sistem dan Strategi,Tertentu (Badan Pelindungan Pekerja Migran Indonesia),Pemerintah Pusat,,,,,,,,
Direktur Sistem dan Strategi Pengelolaan Sumber Daya Air,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Standardisasi dan Sertifikasi Usaha,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Standardisasi Kompetensi,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Status dan Kedudukan Kepegawaian,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Sungai dan Pantai,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Direktur Surat Utang Negara,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Tata Kelola Destinasi,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Tata Kelola Ekonomi Digital,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur Teknologi Informasi dan Komunikasi  ,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Transformasi Proses Bisnis ,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Direktur Transportasi,Tertentu (Kementerian Ppn/Bappenas dan Kementerian Perhubungan),Pemerintah Pusat,,,,,,,,
Direktur Usaha Budidaya,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Usaha dan Investasi,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Direktur Utama Rumah Sakit,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Wisata Minat Khusus,Tertentu (Kementerian Pariwisata Dan Ekonomi Kreatif),Pemerintah Pusat,,,,,,,,
Direktur yang membawahi tusi Pengembangan Kompetensi dan Penilaian Tenaga Kesehatan,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Dirjen Pelayanan Kesehatan,Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Inspektur ,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Inspektur Bidang Administrasi Umum,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Inspektur Bidang Kinerja Kelembagaan,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Inspektur Investigasi,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Inspektur Jenderal,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Badan Informasi Geospasial,Tertentu (Badan Informasi Geospasial),Pemerintah Pusat,,,,,,,,
Kepala Badan Keuangan dan Aset Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Penanggulangan Bencana Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Pendapatan Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Pendidikan dan Pelatihan Keuangan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Balai Besar Penangkapan Ikan ,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Kepala Balai Besar Pengujian Penerapan Produk Kelautan dan Perikanan,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Kepala Balai Besar Perikanan Budidaya Air Payau,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Kepala Balai Besar Perikanan Budidaya Air Tawar,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Kepala Balai Besar Perikanan Budidaya Laut,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Kepala Balai Besar Wilayah Sungai,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Kepala Biro Administrasi Pejabat Negara ,Tertentu (Kementerian Sekretariat Negara),Pemerintah Pusat,,,,,,,,
"Kepala Biro Data, Komunikasi dan Informasi Publik",Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Kepala Biro Hubungan Masyarakat dan Kerja Sama Luar Negeri,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
"Kepala Biro Hubungan Masyarakat, Sistem Informasi, dan Umum ",Tertentu (Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah),Pemerintah Pusat,,,,,,,,
Kepala Biro Hukum,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Hukum dan Komunikasi Publik,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
"Kepala Biro Hukum, Kerjasama dan Komunikasi Publik ",Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
"Kepala Biro Hukum, Organisasi, dan Sumber Daya Manusia",Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
"Kepala Biro Hukum, Persidangan, Organisasi dan Komunikasi",Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Kepegawaian,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Keuangan dan Umum,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Manajemen Kinerja dan Kerja Sama,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
"Kepala Biro Manajemen Kinerja, Organisasi dan Sumber Daya Manusia Aparatur",Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Organisasi dan Ketatalaksanaan,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Organisasi dan Sumber Daya Manusia,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Organisasi dan Umum,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
"Kepala Biro Organisasi, Tata Laksana, Hukum, dan Reformasi Birokrasi",Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Peraturan dan Perundang-undangan,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Perencanaan dan Kerja sama,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Perencanaan dan Keuangan,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Perencanaan dan Organisasi,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
"Kepala Biro Perencanaan, Kepegawaian dan Hukum",Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Sumber Daya Manusia Aparatur dan Organisasi,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Sumber Daya Manusia dan Organisasi,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
"Kepala Biro Sumber Daya Manusia, Organisasi, dan Hukum",Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Umum dan Pengadaan Barang dan Jasa,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Dinas Dinas Pekerjaan Umum Sumber Daya Air,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Energi dan Sumber Daya Mineral,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Kehutanan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Komunikasi Informatika Persandian dan Statistik,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pariwisata dan Ekonomi Kreatif ,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pekerjaan Umum dan Bina Marga,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Perhubungan ,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Tenaga Kerja dan Transmigrasi,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Pelabuhan Perikanan Samudera,Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
"Kepala Pusat Data, Statistik, dan Informasi",Tertentu (Kementerian Kelautan Dan Perikanan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Jaring Kontrol Geodesi dan Geodinamika,Tertentu (Badan Informasi Geospasial),Pemerintah Pusat,,,,,,,,
Kepala Pusat Kebijakan Anggaran Pendapatan dan Belanja Negara,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Kebijakan Ekonomi Makro,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Kebijakan Pembiayaan Perubahan Iklim dan Multilateral,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Kebijakan Pendapatan Negara,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Kebijakan Regional dan Bilateral,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Kebijakan Sektor Keuangan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pembinaan Jabatan Fungsional Kepegawaian,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pemetaan Batas Wilayah,Tertentu (Badan Informasi Geospasial),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pemetaan dan Integrasi Tematik,Tertentu (Badan Informasi Geospasial),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pemetaan Kelautan dan Lingkungan Pantai,Tertentu (Badan Informasi Geospasial),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pemetaan Rupabumi dan Toponim,Tertentu (Badan Informasi Geospasial),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pemetaan Tata Ruang dan Atlas,Tertentu (Badan Informasi Geospasial),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pendidikan dan Pelatihan Anggaran dan Perbendaharaan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pendidikan dan Pelatihan Bea dan Cukai,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pendidikan dan Pelatihan Pajak,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
"Kepala Pusat Penelitian, Promosi dan Kerjasama",Tertentu (Badan Informasi Geospasial),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pengelolaan dan Infrastruktur Informasi Geospasial,Tertentu (Badan Informasi Geospasial),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pengembangan Infrastruktur Wilayah Nasional,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pengembangan Sumber Daya Manusia,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Kepala Pusat Pengendalian Lumpur Sidoarjo,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Kepala Pusat Pengkajian Manajemen Aparatur Sipil Negara,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Kepala Pusat Sistem Informasi dan Teknologi Keuangan,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Pusat Standardisasi dan Kelembagaan Informasi Geospasial,Tertentu (Badan Informasi Geospasial),Pemerintah Pusat,,,,,,,,
Pelaksana Tugas Direktur Regional II,Tertentu (Kementerian Ppn/Bappenas),Pemerintah Pusat,,,,,,,,
Pusat Pengembangan Bisnis,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Pusat Pengembangan Sistem Seleksi,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Sekretaris Direktorat Jenderal Sumber Daya Air,Tertentu (Kementerian Pekerjaan Umum Dan Perumahan Rakyat),Pemerintah Pusat,,,,,,,,
Sekretaris Badan Kebijakan Fiskal,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Sekretaris Deputi Bidang Kelembagaan dan Tata Laksana,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Sekretaris Deputi Bidang Pelayanan Publik,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
"Sekretaris Deputi Bidang Reformasi Birokrasi, Akuntabilitas Aparatur Dan Pengawasan",Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Sekretaris Deputi Bidang Sumber Daya Manusia Aparatur,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Sekretaris Direktorat Jenderal Bimbingan Masyarakat Hindu,Tertentu (Kementerian Agama),Pemerintah Pusat,,,,,,,,
Sekretaris Direktorat Jenderal Hukum dan Perjanjian Internasioal,Tertentu (Kementerian Luar Negeri),Pemerintah Pusat,,,,,,,,
Sekretaris Direktorat Jenderal Pembinaan Pengawasan Ketenagakerjaan dan Keselamatan dan Kesehatan Kerja,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Sekretaris Direktorat Jenderal Pengawasan Sumber Daya Kelautan dan Perikanan,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Sekretaris Direktorat Jenderal Penyelenggaraan Haji dan Umrah,Tertentu (Kementerian Agama),Pemerintah Pusat,,,,,,,,
Sekretaris Direktorat Jenderal Perikanan Tangkap,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Sekretaris Direktorat Jenderal Rehabilitasi Sosial,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Sekretaris Inspektorat Jenderal,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Sekretaris Kementerian Pemberdayaan Aparatur Negara dan Reformasi Birokrasi,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Staf Ahli Bidang Administrasi Negara,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Staf Ahli Bidang Budaya Kerja,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Staf Ahli Bidang Pemerintahan dan Otonomi Daerah,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Staf Ahli Bidang Politik dan Hukum,Tertentu (Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi),Pemerintah Pusat,,,,,,,,
Staf Ahli Penguatan Stabilitas Politik dan Pemerintahan,Tertentu (Kementerian Koordinator Bidang Pembangunan Manusia Dan Kebudayaan),Pemerintah Pusat,,,,,,,,
